x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,1.269504820134073344e+19,1.051513291103798000e+16
0.000000000000000000e+00,7.337803791463863750e+14,2.250051468610762677e+05
2.004008016032064418e-08,2.538803361991265894e+19,2.103026581912482400e+16
1.002004008016032209e-08,1.269504820134072934e+19,1.051513291103797800e+16
3.006012024048096958e-08,3.807969017618305843e+19,3.154539872445945600e+16
2.004008016032064418e-08,2.538803361991263846e+19,2.103026581912482000e+16
4.008016032064128836e-08,5.077001801017406259e+19,4.206053162701582400e+16
3.006012024048096958e-08,3.807969017618305024e+19,3.154539872445947600e+16
5.010020040080160715e-08,6.345901726190657536e+19,5.257566452676791200e+16
4.008016032064128836e-08,5.077001801017405440e+19,4.206053162701584800e+16
6.012024048096193916e-08,7.614668807138290893e+19,6.309079742368961600e+16
5.010020040080160715e-08,6.345901726190654259e+19,5.257566452676790400e+16
7.014028056112225794e-08,8.883303057859141632e+19,7.360593031775483200e+16
6.012024048096193916e-08,7.614668807138290893e+19,6.309079742368962400e+16
8.016032064128257673e-08,1.015180449235052790e+20,8.412106320893763200e+16
7.014028056112225794e-08,8.883303057859139994e+19,7.360593031775483200e+16
9.018036072144289551e-08,1.142017312460829164e+20,9.463619609721182400e+16
8.016032064128257673e-08,1.015180449235053117e+20,8.412106320893758400e+16
1.002004008016032143e-07,1.268840896862677238e+20,1.051513289825513440e+17
9.018036072144289551e-08,1.142017312460829655e+20,9.463619609721179200e+16
1.102204408817635463e-07,1.395651203839883018e+20,1.156664618649302400e+17
1.002004008016032143e-07,1.268840896862677565e+20,1.051513289825513120e+17
1.202404809619238783e-07,1.522448234791582761e+20,1.261815947443223840e+17
1.102204408817635463e-07,1.395651203839882854e+20,1.156664618649302560e+17
1.302605210420841839e-07,1.649231991116760351e+20,1.366967276207017120e+17
1.202404809619238783e-07,1.522448234791582106e+20,1.261815947443224000e+17
1.402805611222445159e-07,1.776002474214259425e+20,1.472118604940422080e+17
1.302605210420841839e-07,1.649231991116760023e+20,1.366967276207016800e+17
1.503006012024048214e-07,1.902759685482764042e+20,1.577269933643177280e+17
1.402805611222445159e-07,1.776002474214258115e+20,1.472118604940421440e+17
1.603206412825651535e-07,2.029503626320816701e+20,1.682421262315022400e+17
1.503006012024048214e-07,1.902759685482763059e+20,1.577269933643176960e+17
1.703406813627254855e-07,2.156234298126809498e+20,1.787572590955697600e+17
1.603206412825651535e-07,2.029503626320816046e+20,1.682421262315022400e+17
1.803607214428857910e-07,2.282951702298982154e+20,1.892723919564941440e+17
1.703406813627254855e-07,2.156234298126808842e+20,1.787572590955696960e+17
1.903807615230461230e-07,2.409655840235428250e+20,1.997875248142493120e+17
1.803607214428857910e-07,2.282951702298982810e+20,1.892723919564940800e+17
2.004008016032064286e-07,2.536346713334094889e+20,2.103026576688092800e+17
1.903807615230461230e-07,2.409655840235428905e+20,1.997875248142493120e+17
2.104208416833667606e-07,2.663024322992775496e+20,2.208177905201479680e+17
2.004008016032064286e-07,2.536346713334094234e+20,2.103026576688092480e+17
2.204408817635270926e-07,2.789688670609115382e+20,2.313329233682393600e+17
2.104208416833667606e-07,2.663024322992776479e+20,2.208177905201479680e+17
2.304609218436873982e-07,2.916339757580613386e+20,2.418480562130571520e+17
2.204408817635270926e-07,2.789688670609117020e+20,2.313329233682393280e+17
2.404809619238477567e-07,3.042977585304621548e+20,2.523631890545756480e+17
2.304609218436873982e-07,2.916339757580614697e+20,2.418480562130571840e+17
2.505010020040080622e-07,3.169602155178332652e+20,2.628783218927686720e+17
2.404809619238477567e-07,3.042977585304620892e+20,2.523631890545755520e+17
2.605210420841683677e-07,3.296213468598802186e+20,2.733934547276098240e+17
2.505010020040080622e-07,3.169602155178332652e+20,2.628783218927685760e+17
2.705410821643286733e-07,3.422811526962929992e+20,2.839085875590734400e+17
2.605210420841683677e-07,3.296213468598802186e+20,2.733934547276097280e+17
2.805611222444890318e-07,3.549396331667473039e+20,2.944237203871334400e+17
2.705410821643286733e-07,3.422811526962930647e+20,2.839085875590734080e+17
2.905811623246493373e-07,3.675967884109035602e+20,3.049388532117635200e+17
2.805611222444890318e-07,3.549396331667473695e+20,2.944237203871333760e+17
3.006012024048096429e-07,3.802526185684068598e+20,3.154539860329376000e+17
2.905811623246493373e-07,3.675967884109034291e+20,3.049388532117635200e+17
3.106212424849700014e-07,3.929071237788883354e+20,3.259691188506302080e+17
3.006012024048096429e-07,3.802526185684069253e+20,3.154539860329377280e+17
3.206412825651303069e-07,4.055603041819639153e+20,3.364842516648145280e+17
3.106212424849700014e-07,3.929071237788882698e+20,3.259691188506301440e+17
3.306613226452906125e-07,4.182121599172340613e+20,3.469993844754648320e+17
3.206412825651303069e-07,4.055603041819637187e+20,3.364842516648145280e+17
3.406813627254509709e-07,4.308626911242855383e+20,3.575145172825552640e+17
3.306613226452906125e-07,4.182121599172339958e+20,3.469993844754650240e+17
3.507014028056112765e-07,4.435118979426888581e+20,3.680296500860593280e+17
3.406813627254509709e-07,4.308626911242853417e+20,3.575145172825552640e+17
3.607214428857715820e-07,4.561597805120008356e+20,3.785447828859511680e+17
3.507014028056112765e-07,4.435118979426886615e+20,3.680296500860594560e+17
3.707414829659319405e-07,4.688063389717628191e+20,3.890599156822049920e+17
