x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,2.682464533312206848e+19,2.221977925143964000e+16
0.000000000000000000e+00,3.747885408160398926e+12,2.571448302268981002e+06
2.004008016032064418e-08,5.364644192189680026e+19,4.443955846939533600e+16
1.002004008016032209e-08,2.682464533312206848e+19,2.221977925143964000e+16
3.006012024048096958e-08,8.046539382219813683e+19,6.665933765638350400e+16
2.004008016032064418e-08,5.364644192189680845e+19,4.443955846939533600e+16
4.008016032064128836e-08,1.072815013413915853e+20,8.887911681234900800e+16
3.006012024048096958e-08,8.046539382219808768e+19,6.665933765638351200e+16
5.010020040080160715e-08,1.340947647869659546e+20,1.110988959372368640e+17
4.008016032064128836e-08,1.072815013413915361e+20,8.887911681234897600e+16
6.012024048096193916e-08,1.609051844663334666e+20,1.333186750309919200e+17
5.010020040080160715e-08,1.340947647869659709e+20,1.110988959372368640e+17
7.014028056112225794e-08,1.877127606868832748e+20,1.555384540935591680e+17
6.012024048096193916e-08,1.609051844663335322e+20,1.333186750309919520e+17
8.016032064128257673e-08,2.145174937559672095e+20,1.777582331248835200e+17
7.014028056112225794e-08,1.877127606868832748e+20,1.555384540935592320e+17
9.018036072144289551e-08,2.413193839809031045e+20,1.999780121249098880e+17
8.016032064128257673e-08,2.145174937559672095e+20,1.777582331248834880e+17
1.002004008016032143e-07,2.681184316689749443e+20,2.221977910935831040e+17
9.018036072144289551e-08,2.413193839809031045e+20,1.999780121249098880e+17
1.102204408817635463e-07,2.949146371274316513e+20,2.444175700308483840e+17
1.002004008016032143e-07,2.681184316689749770e+20,2.221977910935832320e+17
1.202404809619238783e-07,3.217080006634883645e+20,2.666373489366503680e+17
1.102204408817635463e-07,2.949146371274316513e+20,2.444175700308484800e+17
1.302605210420841839e-07,3.484985225843254886e+20,2.888571278109342080e+17
1.202404809619238783e-07,3.217080006634883645e+20,2.666373489366505280e+17
1.402805611222445159e-07,3.752862031970891858e+20,3.110769066536446080e+17
1.302605210420841839e-07,3.484985225843254231e+20,2.888571278109342080e+17
1.503006012024048214e-07,4.020710428088911135e+20,3.332966854647266560e+17
