# time_s, blanket_inventory_kg, TES_inventory_kg, ISS_inventory_kg,storage_inventory_kg,FW_inventory_kg,div_inventory_kg 
2.372090926665249863e+05,3.381481613623280209e-03,5.878193419519130158e-02,2.678170913008309784e-01,1.016474014061049980e+00,1.497536562065640059e-05,1.463932304985109937e-05
2.570093838631389954e+05,3.383977640328830142e-03,5.975102335216860017e-02,2.678172796679940126e-01,1.016157929996519993e+00,1.516921151449220027e-05,1.482749379254600024e-05
2.758326329682409996e+05,3.259656026463740152e-03,6.047954247998849758e-02,2.678147197147670022e-01,1.020942618743150065e+00,1.502435780060140007e-05,1.467826665005239965e-05
2.899138573666950106e+05,3.159050448854480112e-03,6.095206392765550180e-02,2.679570283363840177e-01,1.025819389302760065e+00,1.455162783022100031e-05,1.420281410694010061e-05
3.056094659974250244e+05,3.388525390389200004e-03,6.140241327491929857e-02,2.678173392987410195e-01,1.016091857210249971e+00,1.550096255121320127e-05,1.514957396998040050e-05
3.208105474980630097e+05,3.256347272111789846e-03,6.174607551330350136e-02,2.678260259650280251e-01,1.021453080290360083e+00,1.524527846224620069e-05,1.489177183588239984e-05
3.365308057163819904e+05,3.169655996170459879e-03,6.207458843272870008e-02,2.679690150649560176e-01,1.026261465038889931e+00,1.469229798733140029e-05,1.433695409720810069e-05
3.547811870604890282e+05,3.185105662938220086e-03,6.236878200473169875e-02,2.679345954118709794e-01,1.025404363814869990e+00,1.497199885537120007e-05,1.461487522928559946e-05
3.749435611814680160e+05,3.299545537792689803e-03,6.263442737037590302e-02,2.677599822019979814e-01,1.020506736469140030e+00,1.561613168961440080e-05,1.525741638020110038e-05
3.950900585836200044e+05,3.400940668207510023e-03,6.285459995984030157e-02,2.676540339161599946e-01,1.016623206834389892e+00,1.605502587929120059e-05,1.569503968343699841e-05
4.139073877344260109e+05,3.187904026111530124e-03,6.303195951554589616e-02,2.679642406921040054e-01,1.027155858797440091e+00,1.494368226454069988e-05,1.458273639747829997e-05
4.309152594342260272e+05,3.351829328746230071e-03,6.313835075082409320e-02,2.676911930659799932e-01,1.019624431509670082e+00,1.593029238090090135e-05,1.556862911037449978e-05
4.448682313710490125e+05,3.215611181462419907e-03,6.322607030123479632e-02,2.678971688635790049e-01,1.026120207754600111e+00,1.530651427448399951e-05,1.494435608172919949e-05
4.604093336889349739e+05,3.393968347449229789e-03,6.332010053400269345e-02,2.678172506101370032e-01,1.019225467049460043e+00,1.588699268612169877e-05,1.552437373471769925e-05
4.757906023923549801e+05,3.315720737416010064e-03,6.336902481563709555e-02,2.677386976040649902e-01,1.022448121828869905e+00,1.582586853488080072e-05,1.546285089440300109e-05
4.910091857558130287e+05,3.394415683179709872e-03,6.344277690177289875e-02,2.678171552641939734e-01,1.020098332279840037e+00,1.591216722559090109e-05,1.554882984302969872e-05
5.063797795597600052e+05,3.312772348489660158e-03,6.347265829573330020e-02,2.677434588996019937e-01,1.023486104661359919e+00,1.583269264816289932e-05,1.546906811335839880e-05
5.225797750961270067e+05,3.312889069729449930e-03,6.351498443338980671e-02,2.677434611528459740e-01,1.023973531028329997e+00,1.584119708208840086e-05,1.547732467704610027e-05
5.388663814038679702e+05,3.338686176125529956e-03,6.355071764242140042e-02,2.677080486223999967e-01,1.023354924263019994e+00,1.595633090493560157e-05,1.559225059295940046e-05
5.554128066323370440e+05,3.436915065172819854e-03,6.358622003945199608e-02,2.676536378385179771e-01,1.019709790699889984e+00,1.631178032879479901e-05,1.594752720883879874e-05
5.718600000000000000e+05,3.502662840114939991e-03,6.361952319136189582e-02,2.677277504215079817e-01,1.017465501207980072e+00,1.650163459187120168e-05,1.613723707329620019e-05
5.882090517139900476e+05,3.395073864341430214e-03,6.364458504222610113e-02,2.678170726379179856e-01,1.023070383994789889e+00,1.595320481392719909e-05,1.558868559034859891e-05
6.030869470835929969e+05,3.157658453616539983e-03,6.365183175773729551e-02,2.679638160138140268e-01,1.033811950672780089e+00,1.503766937813010058e-05,1.467305118572490056e-05
6.180884956593420357e+05,3.345466958901620064e-03,6.365660091864089321e-02,2.677001101724920118e-01,1.025560625124599889e+00,1.600370054873299908e-05,1.563900100990099854e-05
6.332095136143630370e+05,3.394860802315719916e-03,6.368591751406570134e-02,2.678173691970319736e-01,1.024515716219710049e+00,1.595992625151390157e-05,1.559516502033509973e-05
6.480869470835929969e+05,3.157756379373849887e-03,6.368694005975160388e-02,2.679638160431079830e-01,1.035248317386449957e+00,1.504472835226280009e-05,1.467990455866940046e-05
6.630884956593429670e+05,3.345550041532200074e-03,6.368638767060050276e-02,2.677001101976890229e-01,1.027002299968559962e+00,1.600968955701600164e-05,1.564481558104959991e-05
6.782095136143630370e+05,3.394931199461350118e-03,6.371115627109640023e-02,2.678173692183820065e-01,1.025961921734759974e+00,1.596500082712070068e-05,1.560009179276890159e-05
6.930869470835929969e+05,3.157816187334099977e-03,6.370838238615339488e-02,2.679638160612349829e-01,1.036698299130730083e+00,1.504903960683039990e-05,1.468409024271560023e-05
7.080884956593420357e+05,3.345600784085100022e-03,6.370457987076999506e-02,2.677001102130729948e-01,1.028455508779519967e+00,1.601334733204430133e-05,1.564836681894110070e-05
7.232095136143630370e+05,3.394974194379560013e-03,6.372657079230879817e-02,2.678173692314190224e-01,1.027417882662670090e+00,1.596810011419079909e-05,1.560310080934189852e-05
7.380869470835929969e+05,3.157852714928020051e-03,6.372147824482740641e-02,2.679638160723170071e-01,1.038156551643409919e+00,1.505167269707699930e-05,1.468664664101329949e-05
7.530884956593420357e+05,3.345631774999329854e-03,6.371569072124010080e-02,2.677001102224639828e-01,1.029915717354489946e+00,1.601558131094800159e-05,1.565053573049810125e-05
7.682095136143630370e+05,3.395000453441239865e-03,6.373598518081929898e-02,2.678173692393809868e-01,1.028879757107320048e+00,1.596999299767270117e-05,1.560493856029510076e-05
7.830869470835929969e+05,3.157875024084030001e-03,6.372947651475299735e-02,2.679638160790819845e-01,1.039619810930340060e+00,1.505328085176520071e-05,1.468820795624450018e-05
7.980884956593420357e+05,3.345650702639420097e-03,6.372247665131029748e-02,2.677001102282129952e-01,1.031380156441380036e+00,1.601694570916939941e-05,1.565186038896550057e-05
