x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,3.090614224863214698e+21,2.692272216003149824e+18
0.000000000000000000e+00,8.314956362359371250e+14,1.535127784729003310e+08
2.004008016032064418e-08,6.180902377206069592e+21,5.384544427342751744e+18
1.002004008016032209e-08,3.090614224863216271e+21,2.692272216003149312e+18
3.006012024048096958e-08,9.270865323135158190e+21,8.076816631504419840e+18
2.004008016032064418e-08,6.180902377206065398e+21,5.384544427342751744e+18
4.008016032064128836e-08,1.236050309722496460e+22,1.076908882582029107e+19
3.006012024048096958e-08,9.270865323135155044e+21,8.076816631504427008e+18
5.010020040080160715e-08,1.544981573405499195e+22,1.346136100762246349e+19
4.008016032064128836e-08,1.236050309722496460e+22,1.076908882582029107e+19
6.012024048096193916e-08,1.853880326819861758e+22,1.615363317424304128e+19
5.010020040080160715e-08,1.544981573405499405e+22,1.346136100762246758e+19
7.014028056112225794e-08,2.162746573422607938e+22,1.884590532301416038e+19
6.012024048096193916e-08,1.853880326819863226e+22,1.615363317424305357e+19
8.016032064128257673e-08,2.471580316670375861e+22,2.153817745126792806e+19
7.014028056112225794e-08,2.162746573422608777e+22,1.884590532301416038e+19
9.018036072144289551e-08,2.780381560019419031e+22,2.423044955633645158e+19
8.016032064128257673e-08,2.471580316670373763e+22,2.153817745126792397e+19
1.002004008016032143e-07,3.089150306925627100e+22,2.692272163555185869e+19
9.018036072144289551e-08,2.780381560019419031e+22,2.423044955633644339e+19
1.102204408817635463e-07,3.397886560844508457e+22,2.961499368624623616e+19
1.002004008016032143e-07,3.089150306925627939e+22,2.692272163555183821e+19
1.202404809619238783e-07,3.706590325231196098e+22,3.230726570575171994e+19
1.102204408817635463e-07,3.397886560844507198e+22,2.961499368624622797e+19
1.302605210420841839e-07,4.015261603540445535e+22,3.499953769140041728e+19
1.202404809619238783e-07,3.706590325231195678e+22,3.230726570575171994e+19
1.402805611222445159e-07,4.323900399226641082e+22,3.769180964052445594e+19
1.302605210420841839e-07,4.015261603540444696e+22,3.499953769140040909e+19
1.503006012024048214e-07,4.632506715743787889e+22,4.038408155045592269e+19
1.402805611222445159e-07,4.323900399226641082e+22,3.769180964052445594e+19
1.603206412825651535e-07,4.941080556545513619e+22,4.307635341852697395e+19
1.503006012024048214e-07,4.632506715743787889e+22,4.038408155045592269e+19
1.703406813627254855e-07,5.249621925085086063e+22,4.576862524206964736e+19
1.603206412825651535e-07,4.941080556545513619e+22,4.307635341852696576e+19
1.803607214428857910e-07,5.558130824815369519e+22,4.846089701841617715e+19
1.703406813627254855e-07,5.249621925085082708e+22,4.576862524206963917e+19
1.903807615230461230e-07,5.866607259188872610e+22,5.115316874489856000e+19
1.803607214428857910e-07,5.558130824815369519e+22,4.846089701841612800e+19
2.004008016032064286e-07,6.175051231657731503e+22,5.384544041884894003e+19
1.903807615230461230e-07,5.866607259188874288e+22,5.115316874489856000e+19
2.104208416833667606e-07,6.483462745673694813e+22,5.653771203759951872e+19
2.004008016032064286e-07,6.175051231657732342e+22,5.384544041884894003e+19
2.204408817635270926e-07,6.791841804688142893e+22,5.922998359848225178e+19
2.104208416833667606e-07,6.483462745673699846e+22,5.653771203759953510e+19
2.304609218436873982e-07,7.100188412152080289e+22,6.192225509882939802e+19
2.204408817635270926e-07,6.791841804688142893e+22,5.922998359848230093e+19
2.404809619238477567e-07,7.408502571516134058e+22,6.461452653597307699e+19
2.304609218436873982e-07,7.100188412152081128e+22,6.192225509882943078e+19
2.505010020040080622e-07,7.716784286230552930e+22,6.730679790724525261e+19
2.404809619238477567e-07,7.408502571516126508e+22,6.461452653597306880e+19
2.605210420841683677e-07,8.025033559745220733e+22,6.999906920997817549e+19
2.505010020040080622e-07,7.716784286230546219e+22,6.730679790724527718e+19
2.705410821643286733e-07,8.333250395509629544e+22,7.269134044150392422e+19
2.605210420841683677e-07,8.025033559745210666e+22,6.999906920997819187e+19
2.805611222444890318e-07,8.641434796972919960e+22,7.538361159915464294e+19
2.705410821643286733e-07,8.333250395509629544e+22,7.269134044150389965e+19
2.905811623246493373e-07,8.949586767583845024e+22,7.807588268026232832e+19
2.805611222444890318e-07,8.641434796972914927e+22,7.538361159915459379e+19
3.006012024048096429e-07,9.257706310790765190e+22,8.076815368215920640e+19
2.905811623246493373e-07,8.949586767583841668e+22,7.807588268026231194e+19
3.106212424849700014e-07,9.565793430041713757e+22,8.346042460217742131e+19
3.006012024048096429e-07,9.257706310790770223e+22,8.076815368215917363e+19
3.206412825651303069e-07,9.873848128784289497e+22,8.615269543764892058e+19
3.106212424849700014e-07,9.565793430041710402e+22,8.346042460217730662e+19
3.306613226452906125e-07,1.018187041046576570e+23,8.884496618590599578e+19
3.206412825651303069e-07,9.873848128784292853e+22,8.615269543764892058e+19
3.406813627254509709e-07,1.048986027853300965e+23,9.153723684428069274e+19
3.306613226452906125e-07,1.018187041046576738e+23,8.884496618590602854e+19
3.507014028056112765e-07,1.079781773643253128e+23,9.422950741010509005e+19
3.406813627254509709e-07,1.048986027853301133e+23,9.153723684428070912e+19
3.607214428857715820e-07,1.110574278761044960e+23,9.692177788071141376e+19
3.507014028056112765e-07,1.079781773643253128e+23,9.422950741010512282e+19
3.707414829659319405e-07,1.141363543551254808e+23,9.961404825343170970e+19
3.607214428857715820e-07,1.110574278761045966e+23,9.692177788071146291e+19
3.807615230460922461e-07,1.172149568358415891e+23,1.023063185255980401e+20
3.707414829659319405e-07,1.141363543551253970e+23,9.961404825343162778e+19
3.907815631262525516e-07,1.202932353527032903e+23,1.049985886945425654e+20
3.807615230460922461e-07,1.172149568358416059e+23,1.023063185255980401e+20
4.008016032064128572e-07,1.233711899401568093e+23,1.076908587575974953e+20
3.907815631262525516e-07,1.202932353527032903e+23,1.049985886945425490e+20
4.108216432865732157e-07,1.264488206326444453e+23,1.103831287120948265e+20
4.008016032064128572e-07,1.233711899401568261e+23,1.076908587575975281e+20
4.208416833667335212e-07,1.295261274646059973e+23,1.130753985553667031e+20
4.108216432865732157e-07,1.264488206326444621e+23,1.103831287120947773e+20
4.308617234468938267e-07,1.326031104704728426e+23,1.157676682847452692e+20
4.208416833667335212e-07,1.295261274646060477e+23,1.130753985553666048e+20
4.408817635270541852e-07,1.356797696846901826e+23,1.184599378975626527e+20
4.308617234468938267e-07,1.326031104704729600e+23,1.157676682847453184e+20
4.509018036072144908e-07,1.387561051416343987e+23,1.211522073911508173e+20
4.408817635270541852e-07,1.356797696846901155e+23,1.184599378975625871e+20
4.609218436873747963e-07,1.418321168759191356e+23,1.238444767628421530e+20
4.509018036072144908e-07,1.387561051416344155e+23,1.211522073911508173e+20
4.709418837675351548e-07,1.449078049212575882e+23,1.265367460099683123e+20
4.609218436873747963e-07,1.418321168759191356e+23,1.238444767628421530e+20
4.809619238476955133e-07,1.479831693147036304e+23,1.292290151298632253e+20
4.709418837675351548e-07,1.449078049212575546e+23,1.265367460099682468e+20
4.909819639278558188e-07,1.510582100808267905e+23,1.319212841198514831e+20
