x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,8.672994245711438807e+20,1.024905534019575680e+18
0.000000000000000000e+00,1.990111251099999000e+15,2.778918939208982944e+09
2.004008016032064418e-08,1.734457093840824435e+21,2.049811030897363456e+18
1.002004008016032209e-08,8.672994245711437496e+20,1.024905534019575168e+18
3.006012024048096958e-08,2.601475024542763581e+21,3.074716492396439040e+18
2.004008016032064418e-08,1.734457093840824435e+21,2.049811030897363968e+18
4.008016032064128836e-08,3.468353242855597670e+21,4.099621917500966912e+18
3.006012024048096958e-08,2.601475024542763581e+21,3.074716492396439552e+18
5.010020040080160715e-08,4.335091775069214999e+21,5.124527305195102208e+18
4.008016032064128836e-08,3.468353242855597146e+21,4.099621917500966912e+18
6.012024048096193916e-08,5.201690647436014387e+21,6.149432654463006720e+18
5.010020040080160715e-08,4.335091775069214474e+21,5.124527305195101184e+18
7.014028056112225794e-08,6.068149886210772304e+21,7.174337964288834560e+18
6.012024048096193916e-08,5.201690647436015436e+21,6.149432654463005696e+18
8.016032064128257673e-08,6.934469517639949484e+21,8.199243233656752128e+18
7.014028056112225794e-08,6.068149886210772304e+21,7.174337964288835584e+18
9.018036072144289551e-08,7.800649567964581855e+21,9.224148461550915584e+18
8.016032064128257673e-08,6.934469517639949484e+21,8.199243233656752128e+18
1.002004008016032143e-07,8.666690063419468415e+21,1.024905364695549542e+19
9.018036072144289551e-08,7.800649567964581855e+21,9.224148461550913536e+18
1.102204408817635463e-07,9.532591030233445958e+21,1.127395878885463040e+19
1.002004008016032143e-07,8.666690063419469464e+21,1.024905364695549133e+19
1.202404809619238783e-07,1.039835249462926220e+22,1.229886388623249613e+19
1.102204408817635463e-07,9.532591030233452249e+21,1.127395878885463040e+19
1.302605210420841839e-07,1.126397448282365860e+22,1.332376893807324979e+19
1.202404809619238783e-07,1.039835249462926429e+22,1.229886388623250227e+19
1.402805611222445159e-07,1.212945702102730434e+22,1.434867394336105882e+19
1.302605210420841839e-07,1.126397448282365231e+22,1.332376893807324979e+19
1.503006012024048214e-07,1.299480013544484975e+22,1.537357890108007424e+19
1.402805611222445159e-07,1.212945702102730224e+22,1.434867394336105472e+19
1.603206412825651535e-07,1.386000385227492216e+22,1.639848381021445734e+19
1.503006012024048214e-07,1.299480013544485185e+22,1.537357890108007014e+19
1.703406813627254855e-07,1.472506819771008811e+22,1.742338866974838374e+19
1.603206412825651535e-07,1.386000385227492216e+22,1.639848381021445734e+19
1.803607214428857910e-07,1.558999319793690581e+22,1.844829347866598195e+19
1.703406813627254855e-07,1.472506819771009021e+22,1.742338866974838784e+19
1.903807615230461230e-07,1.645477887913589578e+22,1.947319823595146445e+19
1.803607214428857910e-07,1.558999319793691001e+22,1.844829347866598195e+19
2.004008016032064286e-07,1.731942526748153872e+22,2.049810294058894950e+19
1.903807615230461230e-07,1.645477887913589998e+22,1.947319823595146445e+19
2.104208416833667606e-07,1.818393238914230911e+22,2.152300759156260454e+19
2.004008016032064286e-07,1.731942526748153872e+22,2.049810294058894950e+19
2.204408817635270926e-07,1.904830027028063112e+22,2.254791218785662566e+19
2.104208416833667606e-07,1.818393238914230492e+22,2.152300759156260454e+19
2.304609218436873982e-07,1.991252893705293739e+22,2.357281672845513523e+19
2.204408817635270926e-07,1.904830027028063112e+22,2.254791218785661747e+19
2.404809619238477567e-07,2.077661841560961863e+22,2.459772121234231296e+19
2.304609218436873982e-07,1.991252893705293319e+22,2.357281672845513114e+19
2.505010020040080622e-07,2.164056873209501319e+22,2.562262563850231808e+19
2.404809619238477567e-07,2.077661841560961443e+22,2.459772121234230477e+19
2.605210420841683677e-07,2.250437991264754126e+22,2.664753000591929754e+19
2.505010020040080622e-07,2.164056873209502158e+22,2.562262563850230989e+19
2.705410821643286733e-07,2.336805198339949933e+22,2.767243431357745152e+19
2.605210420841683677e-07,2.250437991264753707e+22,2.664753000591929754e+19
2.805611222444890318e-07,2.423158497047723219e+22,2.869733856046093107e+19
2.705410821643286733e-07,2.336805198339950772e+22,2.767243431357744742e+19
2.905811623246493373e-07,2.509497890000104482e+22,2.972224274555386675e+19
2.805611222444890318e-07,2.423158497047722380e+22,2.869733856046091878e+19
3.006012024048096429e-07,2.595823379808522338e+22,3.074714686784045056e+19
2.905811623246493373e-07,2.509497890000103644e+22,2.972224274555385446e+19
3.106212424849700014e-07,2.682134969083808134e+22,3.177205092630486221e+19
3.006012024048096429e-07,2.595823379808522338e+22,3.074714686784045466e+19
3.206412825651303069e-07,2.768432660436189236e+22,3.279695491993122406e+19
3.106212424849700014e-07,2.682134969083807715e+22,3.177205092630485402e+19
3.306613226452906125e-07,2.854716456475294066e+22,3.382185884770373222e+19
3.206412825651303069e-07,2.768432660436189236e+22,3.279695491993121997e+19
3.406813627254509709e-07,2.940986359810150839e+22,3.484676270860653363e+19
3.306613226452906125e-07,2.854716456475293647e+22,3.382185884770373222e+19
3.507014028056112765e-07,3.027242373049184210e+22,3.587166650162379571e+19
3.406813627254509709e-07,2.940986359810150420e+22,3.484676270860653773e+19
3.607214428857715820e-07,3.113484498800222824e+22,3.689657022573969408e+19
3.507014028056112765e-07,3.027242373049184210e+22,3.587166650162379571e+19
3.707414829659319405e-07,3.199712739670494701e+22,3.792147387993840845e+19
3.607214428857715820e-07,3.113484498800222824e+22,3.689657022573967770e+19
3.807615230460922461e-07,3.285927098266626399e+22,3.894637746320402842e+19
3.707414829659319405e-07,3.199712739670494282e+22,3.792147387993838387e+19
3.907815631262525516e-07,3.372127577194633363e+22,3.997128097452079514e+19
3.807615230460922461e-07,3.285927098266627657e+22,3.894637746320402022e+19
4.008016032064128572e-07,3.458314179060010949e+22,4.099618441287286784e+19
3.907815631262525516e-07,3.372127577194633363e+22,3.997128097452078694e+19
4.108216432865732157e-07,3.544486906467328406e+22,4.202108777724436480e+19
4.008016032064128572e-07,3.458314179060011788e+22,4.099618441287285146e+19
4.208416833667335212e-07,3.630645762021776582e+22,4.304599106661951078e+19
4.108216432865732157e-07,3.544486906467329245e+22,4.202108777724436480e+19
4.308617234468938267e-07,3.716790748323416690e+22,4.407089427998240768e+19
4.208416833667335212e-07,3.630645762021777841e+22,4.304599106661950259e+19
4.408817635270541852e-07,3.802921867988602297e+22,4.509579741631737856e+19
4.308617234468938267e-07,3.716790748323417529e+22,4.407089427998240768e+19
4.509018036072144908e-07,3.889039123570054765e+22,4.612070047460792730e+19
4.408817635270541852e-07,3.802921867988600619e+22,4.509579741631737856e+19
4.609218436873747963e-07,3.975142517855123984e+22,4.714560345384083456e+19
4.509018036072144908e-07,3.889039123570053926e+22,4.612070047460790272e+19
4.709418837675351548e-07,4.061232052752704812e+22,4.817050635299047014e+19
4.609218436873747963e-07,3.975142517855123984e+22,4.714560345384081818e+19
4.809619238476955133e-07,4.147307733447291699e+22,4.919540917107754598e+19
4.709418837675351548e-07,4.061232052752703973e+22,4.817050635299047834e+19
4.909819639278558188e-07,4.233369552895911710e+22,5.022031190694970163e+19
4.809619238476955133e-07,4.147307733447289183e+22,4.919540917107755418e+19
5.005005005005004682e-07,4.315111116538835370e+22,5.119391813221431706e+19
4.909819639278558188e-07,4.233369552895910032e+22,5.022031190694968525e+19
5.010020040080161244e-07,4.319417517068420068e+22,5.124521455963888026e+19
5.005005005005004682e-07,4.315111116538836209e+22,5.119391813221430067e+19
5.110220440881764299e-07,4.405451662003889871e+22,5.227011712860276326e+19
5.010020040080161244e-07,4.319417517068418390e+22,5.124521455963885568e+19
5.210420841683367355e-07,4.491471937038810559e+22,5.329501961207123968e+19
5.110220440881764299e-07,4.405451662003887355e+22,5.227011712860275507e+19
5.310621242484970410e-07,4.577478375272968356e+22,5.431992200946046566e+19
5.210420841683367355e-07,4.491471937038808043e+22,5.329501961207121510e+19
5.410821643286573466e-07,4.663470971130458879e+22,5.534482431963883930e+19
5.310621242484970410e-07,4.577478375272970034e+22,5.431992200946046566e+19
5.511022044088177580e-07,4.749449729397663308e+22,5.636972654162159206e+19
5.410821643286573466e-07,4.663470971130459718e+22,5.534482431963882291e+19
5.611222444889780636e-07,4.835414652083656616e+22,5.739462867438450278e+19
5.511022044088177580e-07,4.749449729397662469e+22,5.636972654162158387e+19
5.711422845691383691e-07,4.921365741940929829e+22,5.841953071691400806e+19
5.611222444889780636e-07,4.835414652083654938e+22,5.739462867438451917e+19
5.811623246492986747e-07,5.007303001522019762e+22,5.944443266819374285e+19
5.711422845691383691e-07,4.921365741940928152e+22,5.841953071691400806e+19
5.911823647294589802e-07,5.093226433432293002e+22,6.046933452720790733e+19
5.811623246492986747e-07,5.007303001522019762e+22,5.944443266819373466e+19
6.012024048096192857e-07,5.179136040262198677e+22,6.149423629294073446e+19
5.911823647294589802e-07,5.093226433432292164e+22,6.046933452720793190e+19
6.112224448897796972e-07,5.265031824605424753e+22,6.251913796437637530e+19
6.012024048096192857e-07,5.179136040262197838e+22,6.149423629294073446e+19
6.212424849699400027e-07,5.350913789054045232e+22,6.354403954049898906e+19
6.112224448897796972e-07,5.265031824605424753e+22,6.251913796437639168e+19
6.312625250501003083e-07,5.436781936199796890e+22,6.456894102029272678e+19
6.212424849699400027e-07,5.350913789054041876e+22,6.354403954049898906e+19
6.412825651302606138e-07,5.522636268633768067e+22,6.559384240274178048e+19
6.312625250501003083e-07,5.436781936199795212e+22,6.456894102029272678e+19
6.513026052104209194e-07,5.608476788946455704e+22,6.661874368683031757e+19
6.412825651302606138e-07,5.522636268633765550e+22,6.559384240274180506e+19
6.613226452905812249e-07,5.694303499727762830e+22,6.764364487154253824e+19
6.513026052104209194e-07,5.608476788946454866e+22,6.661874368683032576e+19
6.713426853707415305e-07,5.780116403567001076e+22,6.866854595586255258e+19
6.613226452905812249e-07,5.694303499727762830e+22,6.764364487154251366e+19
6.813627254509019419e-07,5.865915503052886481e+22,6.969344693877455258e+19
6.713426853707415305e-07,5.780116403567001076e+22,6.866854595586253619e+19
6.913827655310622474e-07,5.951700800773530268e+22,7.071834781926273843e+19
6.813627254509019419e-07,5.865915503052885642e+22,6.969344693877456077e+19
7.014028056112225530e-07,6.037472299316465684e+22,7.174324859631128576e+19
6.913827655310622474e-07,5.951700800773532785e+22,7.071834781926273843e+19
7.114228456913828585e-07,6.123230001268624510e+22,7.276814926890431283e+19
7.014028056112225530e-07,6.037472299316466523e+22,7.174324859631128576e+19
7.214428857715431641e-07,6.208973909216336229e+22,7.379304983602601984e+19
7.114228456913828585e-07,6.123230001268622832e+22,7.276814926890431283e+19
7.314629258517034696e-07,6.294704025745352347e+22,7.481795029666055782e+19
7.214428857715431641e-07,6.208973909216336229e+22,7.379304983602603622e+19
7.414829659318638810e-07,6.380420353440820389e+22,7.584285064979218432e+19
7.314629258517034696e-07,6.294704025745347314e+22,7.481795029666057421e+19
7.515030060120241866e-07,6.466122894887288937e+22,7.686775089440499302e+19
7.414829659318638810e-07,6.380420353440820389e+22,7.584285064979218432e+19
7.615230460921844921e-07,6.551811652668737821e+22,7.789265102948312678e+19
7.515030060120241866e-07,6.466122894887287259e+22,7.686775089440497664e+19
7.715430861723447977e-07,6.637486629368520245e+22,7.891755105401085952e+19
7.615230460921844921e-07,6.551811652668733627e+22,7.789265102948312678e+19
7.815631262525051032e-07,6.723147827569420665e+22,7.994245096697228493e+19
7.715430861723447977e-07,6.637486629368517729e+22,7.891755105401084314e+19
7.915831663326654088e-07,6.808795249853624589e+22,8.096735076735156224e+19
7.815631262525051032e-07,6.723147827569418148e+22,7.994245096697228493e+19
8.016032064128257143e-07,6.894428898802716901e+22,8.199225045413296538e+19
7.915831663326654088e-07,6.808795249853622911e+22,8.096735076735156224e+19
8.116232464929861258e-07,6.980048776997708707e+22,8.301715002630057165e+19
8.016032064128257143e-07,6.894428898802716063e+22,8.199225045413294899e+19
8.216432865731464313e-07,7.065654887018996223e+22,8.404204948283858944e+19
8.116232464929861258e-07,6.980048776997708707e+22,8.301715002630058803e+19
8.316633266533067369e-07,7.151247231446400211e+22,8.506694882273121075e+19
8.216432865731464313e-07,7.065654887018995384e+22,8.404204948283858944e+19
8.416833667334670424e-07,7.236825812859136613e+22,8.609184804496256205e+19
8.316633266533067369e-07,7.151247231446399372e+22,8.506694882273117798e+19
8.517034068136273479e-07,7.322390633835845072e+22,8.711674714851685171e+19
8.416833667334670424e-07,7.236825812859136613e+22,8.609184804496256205e+19
8.617234468937876535e-07,7.407941696954561253e+22,8.814164613237830451e+19
8.517034068136273479e-07,7.322390633835845072e+22,8.711674714851685171e+19
8.717434869739480649e-07,7.493479004792727745e+22,8.916654499553099776e+19
8.617234468937876535e-07,7.407941696954560414e+22,8.814164613237827174e+19
8.817635270541083705e-07,7.579002559927219231e+22,9.019144373695915622e+19
8.717434869739480649e-07,7.493479004792726068e+22,8.916654499553096499e+19
8.917835671342686760e-07,7.664512364934256919e+22,9.121634235564697190e+19
8.817635270541083705e-07,7.579002559927217553e+22,9.019144373695913984e+19
9.018036072144289816e-07,7.750008422389655169e+22,9.224124085057857126e+19
8.917835671342686760e-07,7.664512364934253563e+22,9.121634235564693914e+19
9.118236472945892871e-07,7.835490734867981795e+22,9.326613922073816269e+19
9.018036072144289816e-07,7.750008422389655169e+22,9.224124085057853850e+19
9.218436873747495927e-07,7.920959304945661850e+22,9.429103746510995456e+19
9.118236472945892871e-07,7.835490734867978440e+22,9.326613922073811354e+19
9.318637274549100041e-07,8.006414135189389600e+22,9.531593558267800781e+19
9.218436873747495927e-07,7.920959304945661850e+22,9.429103746510990541e+19
9.418837675350703096e-07,8.091855228199376834e+22,9.634083357242679296e+19
9.318637274549100041e-07,8.006414135189389600e+22,9.531593558267799142e+19
9.519038076152306152e-07,8.177282586447964432e+22,9.736573143333925683e+19
9.418837675350703096e-07,8.091855228199376834e+22,9.634083357242679296e+19
9.619238476953910266e-07,8.262696212881897580e+22,9.839062916440480154e+19
9.519038076152306152e-07,8.177282586447964432e+22,9.736573143333922406e+19
9.719438877755512263e-07,8.348096108674672073e+22,9.941552676458749952e+19
9.619238476953910266e-07,8.262696212881897580e+22,9.839062916440480154e+19
9.819639278557116377e-07,8.433482281614781605e+22,1.004404242329467290e+20
9.719438877755512263e-07,8.348096108674668718e+22,9.941552676458746675e+19
9.919839679358718374e-07,8.518854714800597054e+22,1.014653215681862697e+20
9.819639278557116377e-07,8.433482281614779928e+22,1.004404242329466962e+20
1.001001001001000936e-06,8.595669576387287790e+22,1.023876264623753134e+20
9.919839679358718374e-07,8.518854714800597054e+22,1.014653215681862697e+20
1.002004008016032249e-06,8.604213421878068380e+22,1.024902187694498939e+20
1.001001001001000936e-06,8.595669576387291146e+22,1.023876264623753134e+20
1.012024048096192448e-06,8.689558458986464805e+22,1.035151158364924314e+20
1.002004008016032249e-06,8.604213421878066702e+22,1.024902187694498775e+20
1.022044088176352860e-06,8.774889737694005219e+22,1.045400127669887631e+20
1.012024048096192448e-06,8.689558458986463127e+22,1.035151158364924314e+20
1.032064128256513271e-06,8.860207313456268837e+22,1.055649095606840525e+20
1.022044088176352860e-06,8.774889737694005219e+22,1.045400127669887468e+20
1.042084168336673471e-06,8.945511174669591170e+22,1.065898062163584942e+20
1.032064128256513271e-06,8.860207313456267159e+22,1.055649095606840197e+20
1.052104208416833882e-06,9.030801327697900759e+22,1.076147027330510356e+20
1.042084168336673471e-06,8.945511174669586137e+22,1.065898062163584451e+20
1.062124248496994082e-06,9.116077774090029918e+22,1.086395991097310740e+20
1.052104208416833882e-06,9.030801327697897403e+22,1.076147027330510029e+20
1.072144288577154494e-06,9.201340516684232288e+22,1.096644953453868155e+20
1.062124248496994082e-06,9.116077774090026562e+22,1.086395991097310904e+20
1.082164328657314693e-06,9.286589557972536813e+22,1.106893914390013542e+20
1.072144288577154494e-06,9.201340516684230610e+22,1.096644953453868155e+20
1.092184368737475105e-06,9.371824900539000501e+22,1.117142873895591444e+20
1.082164328657314693e-06,9.286589557972535135e+22,1.106893914390013215e+20
1.102204408817635516e-06,9.457046546942257843e+22,1.127391831960442470e+20
1.092184368737475105e-06,9.371824900538997146e+22,1.117142873895591444e+20
1.112224448897795716e-06,9.542254499747021718e+22,1.137640788574410179e+20
1.102204408817635516e-06,9.457046546942261199e+22,1.127391831960443453e+20
1.122244488977956127e-06,9.627448761515639413e+22,1.147889743727335014e+20
1.112224448897795716e-06,9.542254499747023395e+22,1.137640788574410015e+20
1.132264529058116327e-06,9.712629334810332391e+22,1.158138697409058570e+20
1.122244488977956127e-06,9.627448761515641091e+22,1.147889743727335014e+20
1.142284569138276738e-06,9.797796222192619146e+22,1.168387649609424241e+20
