x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,1.709953909749092188e+20,1.812613162157820800e+17
0.000000000000000000e+00,1.949419325340331250e+14,2.190377702236174643e+08
2.004008016032064418e-08,3.419654410098797445e+20,3.625226295836221440e+17
1.002004008016032209e-08,1.709953909749093171e+20,1.812613162157819840e+17
3.006012024048096958e-08,5.129103491623779041e+20,5.437839403221065600e+17
2.004008016032064418e-08,3.419654410098798100e+20,3.625226295836219520e+17
4.008016032064128836e-08,6.838301195063695770e+20,7.250452484307845120e+17
3.006012024048096958e-08,5.129103491623777731e+20,5.437839403221066880e+17
5.010020040080160715e-08,8.547247561259821302e+20,9.063065539092046080e+17
4.008016032064128836e-08,6.838301195063694459e+20,7.250452484307847680e+17
6.012024048096193916e-08,1.025594263101642506e+21,1.087567856756916992e+18
5.010020040080160715e-08,8.547247561259821302e+20,9.063065539092047360e+17
7.014028056112225794e-08,1.196438644513792328e+21,1.268829156973468160e+18
6.012024048096193916e-08,1.025594263101643031e+21,1.087567856756917120e+18
8.016032064128257673e-08,1.367257904441894109e+21,1.450090454558408704e+18
7.014028056112225794e-08,1.196438644513792328e+21,1.268829156973468416e+18
9.018036072144289551e-08,1.538052046964692877e+21,1.631351749511288320e+18
8.016032064128257673e-08,1.367257904441893585e+21,1.450090454558408448e+18
1.002004008016032143e-07,1.708821076160152863e+21,1.812613041831652864e+18
9.018036072144289551e-08,1.538052046964693139e+21,1.631351749511288064e+18
1.102204408817635463e-07,1.879564996105472836e+21,1.993874331519054848e+18
1.002004008016032143e-07,1.708821076160152601e+21,1.812613041831653120e+18
1.202404809619238783e-07,2.050283810877074833e+21,2.175135618573039872e+18
1.102204408817635463e-07,1.879564996105472836e+21,1.993874331519054080e+18
1.302605210420841839e-07,2.220977524550619890e+21,2.356396902993159168e+18
1.202404809619238783e-07,2.050283810877075620e+21,2.175135618573040128e+18
1.402805611222445159e-07,2.391646141200995451e+21,2.537658184778960384e+18
1.302605210420841839e-07,2.220977524550619890e+21,2.356396902993158656e+18
1.503006012024048214e-07,2.562289664902319571e+21,2.718919463929993728e+18
1.402805611222445159e-07,2.391646141200994927e+21,2.537658184778960896e+18
1.603206412825651535e-07,2.732908099727943270e+21,2.900180740445806080e+18
1.503006012024048214e-07,2.562289664902319047e+21,2.718919463929993216e+18
1.703406813627254855e-07,2.903501449750448177e+21,3.081442014325948416e+18
1.603206412825651535e-07,2.732908099727943270e+21,2.900180740445806592e+18
1.803607214428857910e-07,3.074069719041649410e+21,3.262703285569967104e+18
1.703406813627254855e-07,2.903501449750449750e+21,3.081442014325949440e+18
1.903807615230461230e-07,3.244612911672589812e+21,3.443964554177413632e+18
1.803607214428857910e-07,3.074069719041649410e+21,3.262703285569968128e+18
2.004008016032064286e-07,3.415131031713546240e+21,3.625225820147835392e+18
1.903807615230461230e-07,3.244612911672590336e+21,3.443964554177414656e+18
2.104208416833667606e-07,3.585624083234031665e+21,3.806487083480782848e+18
2.004008016032064286e-07,3.415131031713546764e+21,3.625225820147836416e+18
2.204408817635270926e-07,3.756092070302781014e+21,3.987748344175802368e+18
2.104208416833667606e-07,3.585624083234032189e+21,3.806487083480783360e+18
2.304609218436873982e-07,3.926534996987774763e+21,4.169009602232445440e+18
2.204408817635270926e-07,3.756092070302782063e+21,3.987748344175804416e+18
2.404809619238477567e-07,4.096952867356214297e+21,4.350270857650260480e+18
2.304609218436873982e-07,3.926534996987774763e+21,4.169009602232445952e+18
2.505010020040080622e-07,4.267345685474542354e+21,4.531532110428796416e+18
2.404809619238477567e-07,4.096952867356212724e+21,4.350270857650258944e+18
2.605210420841683677e-07,4.437713455408428351e+21,4.712793360567597056e+18
2.505010020040080622e-07,4.267345685474540782e+21,4.531532110428796416e+18
2.705410821643286733e-07,4.608056181222778339e+21,4.894054608066217984e+18
2.605210420841683677e-07,4.437713455408427303e+21,4.712793360567598080e+18
2.805611222444890318e-07,4.778373866981732385e+21,5.075315852924207104e+18
2.705410821643286733e-07,4.608056181222779388e+21,4.894054608066215936e+18
2.905811623246493373e-07,4.948666516748662473e+21,5.256577095141110784e+18
2.805611222444890318e-07,4.778373866981732385e+21,5.075315852924206080e+18
3.006012024048096429e-07,5.118934134586172506e+21,5.437838334716478464e+18
2.905811623246493373e-07,4.948666516748659327e+21,5.256577095141109760e+18
3.106212424849700014e-07,5.289176724556103025e+21,5.619099571649859584e+18
3.006012024048096429e-07,5.118934134586170409e+21,5.437838334716480512e+18
3.206412825651303069e-07,5.459394290719525962e+21,5.800360805940803584e+18
3.106212424849700014e-07,5.289176724556100927e+21,5.619099571649861632e+18
3.306613226452906125e-07,5.629586837136751985e+21,5.981622037588856832e+18
3.206412825651303069e-07,5.459394290719525962e+21,5.800360805940804608e+18
3.406813627254509709e-07,5.799754367867323154e+21,6.162883266593573888e+18
3.306613226452906125e-07,5.629586837136753033e+21,5.981622037588859904e+18
3.507014028056112765e-07,5.969896886970013975e+21,6.344144492954500096e+18
3.406813627254509709e-07,5.799754367867321057e+21,6.162883266593571840e+18
3.607214428857715820e-07,6.140014398502839779e+21,6.525405716671178752e+18
3.507014028056112765e-07,5.969896886970012926e+21,6.344144492954499072e+18
3.707414829659319405e-07,6.310106906523041006e+21,6.706666937743171584e+18
3.607214428857715820e-07,6.140014398502840828e+21,6.525405716671180800e+18
3.807615230460922461e-07,6.480174415087107310e+21,6.887928156170016768e+18
3.707414829659319405e-07,6.310106906523041006e+21,6.706666937743168512e+18
3.907815631262525516e-07,6.650216928250746110e+21,7.069189371951263744e+18
3.807615230460922461e-07,6.480174415087106261e+21,6.887928156170014720e+18
4.008016032064128572e-07,6.820234450068916142e+21,7.250450585086460928e+18
3.907815631262525516e-07,6.650216928250744013e+21,7.069189371951263744e+18
4.108216432865732157e-07,6.990226984595799146e+21,7.431711795575173120e+18
4.008016032064128572e-07,6.820234450068917191e+21,7.250450585086465024e+18
4.208416833667335212e-07,7.160194535884826083e+21,7.612973003416927232e+18
4.108216432865732157e-07,6.990226984595798098e+21,7.431711795575170048e+18
4.308617234468938267e-07,7.330137107988647772e+21,7.794234208611286016e+18
4.208416833667335212e-07,7.160194535884826083e+21,7.612973003416927232e+18
4.408817635270541852e-07,7.500054704959170544e+21,7.975495411157791744e+18
4.308617234468938267e-07,7.330137107988648821e+21,7.794234208611284992e+18
4.509018036072144908e-07,7.669947330847512199e+21,8.156756611055993856e+18
4.408817635270541852e-07,7.500054704959169495e+21,7.975495411157789696e+18
4.609218436873747963e-07,7.839814989704055489e+21,8.338017808305444864e+18
4.509018036072144908e-07,7.669947330847514296e+21,8.156756611055995904e+18
4.709418837675351548e-07,8.009657685578395681e+21,8.519279002905691136e+18
4.609218436873747963e-07,7.839814989704054440e+21,8.338017808305445888e+18
4.809619238476955133e-07,8.179475422519376216e+21,8.700540194856283136e+18
4.709418837675351548e-07,8.009657685578394632e+21,8.519279002905693184e+18
4.909819639278558188e-07,8.349268204575076123e+21,8.881801384156766208e+18
4.809619238476955133e-07,8.179475422519378313e+21,8.700540194856283136e+18
5.010020040080161244e-07,8.519036035792812114e+21,9.063062570806690816e+18
4.909819639278558188e-07,8.349268204575077171e+21,8.881801384156766208e+18
5.110220440881764299e-07,8.688778920219138589e+21,9.244323754805616640e+18
5.010020040080161244e-07,8.519036035792811065e+21,9.063062570806687744e+18
5.210420841683367355e-07,8.858496861899840291e+21,9.425584936153071616e+18
5.110220440881764299e-07,8.688778920219138589e+21,9.244323754805610496e+18
5.310621242484970410e-07,9.028189864879954330e+21,9.606846114848614400e+18
5.210420841683367355e-07,8.858496861899842388e+21,9.425584936153071616e+18
5.410821643286573466e-07,9.197857933203735577e+21,9.788107290891802624e+18
5.310621242484970410e-07,9.028189864879954330e+21,9.606846114848614400e+18
5.511022044088177580e-07,9.367501070914703852e+21,9.969368464282175488e+18
5.410821643286573466e-07,9.197857933203737674e+21,9.788107290891796480e+18
5.611222444889780636e-07,9.537119282055583105e+21,1.015062963501928653e+19
5.511022044088177580e-07,9.367501070914702803e+21,9.969368464282171392e+18
5.711422845691383691e-07,9.706712570668370625e+21,1.033189080310267290e+19
5.611222444889780636e-07,9.537119282055587299e+21,1.015062963501928448e+19
5.811623246492986747e-07,9.876280940794277265e+21,1.051315196853190042e+19
5.711422845691383691e-07,9.706712570668370625e+21,1.033189080310267290e+19
5.911823647294589802e-07,1.004582439647375576e+22,1.069441313130650829e+19
5.811623246492986747e-07,9.876280940794275168e+21,1.051315196853189632e+19
6.012024048096192857e-07,1.021534294174651436e+22,1.087567429142604595e+19
5.911823647294589802e-07,1.004582439647375786e+22,1.069441313130650829e+19
6.112224448897796972e-07,1.038483658065148956e+22,1.105693544889006694e+19
6.012024048096192857e-07,1.021534294174651227e+22,1.087567429142604595e+19
6.212424849699400027e-07,1.055430531722684190e+22,1.123819660369811661e+19
6.112224448897796972e-07,1.038483658065148117e+22,1.105693544889006694e+19
6.312625250501003083e-07,1.072374915550999373e+22,1.141945775584974848e+19
6.212424849699400027e-07,1.055430531722683980e+22,1.123819660369811661e+19
6.412825651302606138e-07,1.089316809953761034e+22,1.160071890534450176e+19
6.312625250501003083e-07,1.072374915550999373e+22,1.141945775584974234e+19
6.513026052104209194e-07,1.106256215334557057e+22,1.178198005218192998e+19
6.412825651302606138e-07,1.089316809953761034e+22,1.160071890534449766e+19
6.613226452905812249e-07,1.123193132096901297e+22,1.196324119636158464e+19
6.513026052104209194e-07,1.106256215334557267e+22,1.178198005218192589e+19
6.713426853707415305e-07,1.140127560644232112e+22,1.214450233788300698e+19
6.613226452905812249e-07,1.123193132096901297e+22,1.196324119636158054e+19
6.813627254509019419e-07,1.157059501379909216e+22,1.232576347674576077e+19
6.713426853707415305e-07,1.140127560644231692e+22,1.214450233788300493e+19
6.913827655310622474e-07,1.173988954707218924e+22,1.250702461294938112e+19
6.813627254509019419e-07,1.157059501379909006e+22,1.232576347674575872e+19
7.014028056112225530e-07,1.190915921029371632e+22,1.268828574649342771e+19
6.913827655310622474e-07,1.173988954707219133e+22,1.250702461294938112e+19
7.114228456913828585e-07,1.207840400749499515e+22,1.286954687737743360e+19
7.014028056112225530e-07,1.190915921029371213e+22,1.268828574649342771e+19
7.214428857715431641e-07,1.224762394270660716e+22,1.305080800560096461e+19
7.114228456913828585e-07,1.207840400749498886e+22,1.286954687737743155e+19
7.314629258517034696e-07,1.241681901995837673e+22,1.323206913116356198e+19
7.214428857715431641e-07,1.224762394270660087e+22,1.305080800560095846e+19
7.414829659318638810e-07,1.258598924327935646e+22,1.341333025406477517e+19
7.314629258517034696e-07,1.241681901995837253e+22,1.323206913116355584e+19
7.515030060120241866e-07,1.275513461669785869e+22,1.359459137430414336e+19
7.414829659318638810e-07,1.258598924327935436e+22,1.341333025406477312e+19
7.615230460921844921e-07,1.292425514424140300e+22,1.377585249188123853e+19
7.515030060120241866e-07,1.275513461669785869e+22,1.359459137430414336e+19
7.715430861723447977e-07,1.309335082993680436e+22,1.395711360679559168e+19
7.615230460921844921e-07,1.292425514424140510e+22,1.377585249188123853e+19
7.815631262525051032e-07,1.326242167781006823e+22,1.413837471904675226e+19
7.715430861723447977e-07,1.309335082993680227e+22,1.395711360679558758e+19
7.915831663326654088e-07,1.343146769188646185e+22,1.431963582863427584e+19
7.815631262525051032e-07,1.326242167781006823e+22,1.413837471904675021e+19
8.016032064128257143e-07,1.360048887619051638e+22,1.450089693555770573e+19
7.915831663326654088e-07,1.343146769188646814e+22,1.431963582863427994e+19
8.116232464929861258e-07,1.376948523474597026e+22,1.468215803981659955e+19
8.016032064128257143e-07,1.360048887619051848e+22,1.450089693555770368e+19
8.216432865731464313e-07,1.393845677157582583e+22,1.486341914141049242e+19
8.116232464929861258e-07,1.376948523474597236e+22,1.468215803981660160e+19
8.316633266533067369e-07,1.410740349070230107e+22,1.504468024033895219e+19
8.216432865731464313e-07,1.393845677157582583e+22,1.486341914141049651e+19
8.416833667334670424e-07,1.427632539614692613e+22,1.522594133660150989e+19
8.316633266533067369e-07,1.410740349070230317e+22,1.504468024033895219e+19
8.517034068136273479e-07,1.444522249193037758e+22,1.540720243019772314e+19
8.416833667334670424e-07,1.427632539614692193e+22,1.522594133660150579e+19
8.617234468937876535e-07,1.461409478207264837e+22,1.558846352112713318e+19
8.517034068136273479e-07,1.444522249193037758e+22,1.540720243019772314e+19
8.717434869739480649e-07,1.478294227059294916e+22,1.576972460938929971e+19
8.617234468937876535e-07,1.461409478207264837e+22,1.558846352112713523e+19
8.817635270541083705e-07,1.495176496150973147e+22,1.595098569498376806e+19
8.717434869739480649e-07,1.478294227059295126e+22,1.576972460938930176e+19
8.917835671342686760e-07,1.512056285884069813e+22,1.613224677791008358e+19
8.817635270541083705e-07,1.495176496150973356e+22,1.595098569498376806e+19
9.018036072144289816e-07,1.528933596660279489e+22,1.631350785816779571e+19
8.917835671342686760e-07,1.512056285884070022e+22,1.613224677791008358e+19
9.118236472945892871e-07,1.545808428881220416e+22,1.649476893575645594e+19
9.018036072144289816e-07,1.528933596660279489e+22,1.631350785816779571e+19
9.218436873747495927e-07,1.562680782948438062e+22,1.667603001067561370e+19
9.118236472945892871e-07,1.545808428881220207e+22,1.649476893575645594e+19
9.318637274549100041e-07,1.579550659263396315e+22,1.685729108292481434e+19
9.218436873747495927e-07,1.562680782948437433e+22,1.667603001067560755e+19
9.418837675350703096e-07,1.596418058227490069e+22,1.703855215250360730e+19
9.318637274549100041e-07,1.579550659263395896e+22,1.685729108292481843e+19
9.519038076152306152e-07,1.613282980242035992e+22,1.721981321941153792e+19
9.418837675350703096e-07,1.596418058227490698e+22,1.703855215250360525e+19
9.619238476953910266e-07,1.630145425708275466e+22,1.740107428364817203e+19
9.519038076152306152e-07,1.613282980242035782e+22,1.721981321941154202e+19
9.719438877755512263e-07,1.647005395027372907e+22,1.758233534521304269e+19
9.619238476953910266e-07,1.630145425708274627e+22,1.740107428364817408e+19
9.819639278557116377e-07,1.663862888600418910e+22,1.776359640410570138e+19
9.719438877755512263e-07,1.647005395027372487e+22,1.758233534521303450e+19
9.919839679358718374e-07,1.680717906828429204e+22,1.794485746032568320e+19
9.819639278557116377e-07,1.663862888600419330e+22,1.776359640410570957e+19
1.002004008016032249e-06,1.697570450112343808e+22,1.812611851387257856e+19
9.919839679358718374e-07,1.680717906828429414e+22,1.794485746032569139e+19
1.012024048096192448e-06,1.714420518853025150e+22,1.830737956474590208e+19
1.002004008016032249e-06,1.697570450112343808e+22,1.812611851387257651e+19
1.022044088176352860e-06,1.731268113451262673e+22,1.848864061294519910e+19
1.012024048096192448e-06,1.714420518853024940e+22,1.830737956474589389e+19
1.032064128256513271e-06,1.748113234307769277e+22,1.866990165847004365e+19
1.022044088176352860e-06,1.731268113451262883e+22,1.848864061294519910e+19
1.042084168336673471e-06,1.764955881823184250e+22,1.885116270131995034e+19
1.032064128256513271e-06,1.748113234307769277e+22,1.866990165847003955e+19
1.052104208416833882e-06,1.781796056398067820e+22,1.903242374149451776e+19
1.042084168336673471e-06,1.764955881823184250e+22,1.885116270131994624e+19
1.062124248496994082e-06,1.798633758432909538e+22,1.921368477899324211e+19
1.052104208416833882e-06,1.781796056398068240e+22,1.903242374149451366e+19
1.072144288577154494e-06,1.815468988328119684e+22,1.939494581381570150e+19
1.062124248496994082e-06,1.798633758432910167e+22,1.921368477899323392e+19
1.082164328657314693e-06,1.832301746484038074e+22,1.957620684596144947e+19
1.072144288577154494e-06,1.815468988328120523e+22,1.939494581381569331e+19
1.092184368737475105e-06,1.849132033300922106e+22,1.975746787543001088e+19
1.082164328657314693e-06,1.832301746484037865e+22,1.957620684596143309e+19
1.102204408817635516e-06,1.865959849178959761e+22,1.993872890222094746e+19
1.092184368737475105e-06,1.849132033300922106e+22,1.975746787543000269e+19
1.112224448897795716e-06,1.882785194518263733e+22,2.011998992633380454e+19
1.102204408817635516e-06,1.865959849178959761e+22,1.993872890222094746e+19
1.122244488977956127e-06,1.899608069718866395e+22,2.030125094776816026e+19
1.112224448897795716e-06,1.882785194518262474e+22,2.011998992633380864e+19
1.132264529058116327e-06,1.916428475180730076e+22,2.048251196652351078e+19
1.122244488977956127e-06,1.899608069718865556e+22,2.030125094776816026e+19
1.142284569138276738e-06,1.933246411303740559e+22,2.066377298259945472e+19
1.132264529058116327e-06,1.916428475180729657e+22,2.048251196652350669e+19
1.152304609218436938e-06,1.950061878487707288e+22,2.084503399599550874e+19
1.142284569138276738e-06,1.933246411303740559e+22,2.066377298259944653e+19
1.162324649298597349e-06,1.966874877132365470e+22,2.102629500671123046e+19
1.152304609218436938e-06,1.950061878487707288e+22,2.084503399599550054e+19
1.172344689378757761e-06,1.983685407637377332e+22,2.120755601474617344e+19
1.162324649298597349e-06,1.966874877132365470e+22,2.102629500671123046e+19
1.182364729458917960e-06,2.000493470402323730e+22,2.138881702009988710e+19
1.172344689378757761e-06,1.983685407637376493e+22,2.120755601474616934e+19
1.192384769539078372e-06,2.017299065826716313e+22,2.157007802277190042e+19
1.182364729458917960e-06,2.000493470402323310e+22,2.138881702009987891e+19
1.202404809619238571e-06,2.034102194309990816e+22,2.175133902276178739e+19
1.192384769539078372e-06,2.017299065826715894e+22,2.157007802277190861e+19
1.212424849699398983e-06,2.050902856251504538e+22,2.193260002006910157e+19
1.202404809619238571e-06,2.034102194309990397e+22,2.175133902276179149e+19
1.222444889779559394e-06,2.067701052050544316e+22,2.211386101469335962e+19
1.212424849699398983e-06,2.050902856251504119e+22,2.193260002006909338e+19
1.232464929859719594e-06,2.084496782106317292e+22,2.229512200663413965e+19
1.222444889779559394e-06,2.067701052050543477e+22,2.211386101469336781e+19
1.242484969939880005e-06,2.101290046817959726e+22,2.247638299589098701e+19
1.232464929859719594e-06,2.084496782106317292e+22,2.229512200663413555e+19
1.252505010020040205e-06,2.118080846584530705e+22,2.265764398246342656e+19
1.242484969939880005e-06,2.101290046817960565e+22,2.247638299589097472e+19
1.262525050100200617e-06,2.134869181805016750e+22,2.283890496635103232e+19
1.252505010020040205e-06,2.118080846584530705e+22,2.265764398246341837e+19
1.272545090180360816e-06,2.151655052878323856e+22,2.302016594755333734e+19
1.262525050100200617e-06,2.134869181805015912e+22,2.283890496635102822e+19
1.282565130260521228e-06,2.168438460203287550e+22,2.320142692606991155e+19
1.272545090180360816e-06,2.151655052878323017e+22,2.302016594755334144e+19
1.292585170340681639e-06,2.185219404178670381e+22,2.338268790190028800e+19
1.282565130260521228e-06,2.168438460203287550e+22,2.320142692606990336e+19
1.302605210420841839e-06,2.201997885203153945e+22,2.356394887504402432e+19
1.292585170340681639e-06,2.185219404178669961e+22,2.338268790190028390e+19
1.312625250501002250e-06,2.218773903675349795e+22,2.374520984550063718e+19
1.302605210420841839e-06,2.201997885203153945e+22,2.356394887504402022e+19
1.322645290581162450e-06,2.235547459993791889e+22,2.392647081326972518e+19
1.312625250501002250e-06,2.218773903675350214e+22,2.374520984550064128e+19
1.332665330661322861e-06,2.252318554556942044e+22,2.410773177835080909e+19
1.322645290581162450e-06,2.235547459993792728e+22,2.392647081326972109e+19
1.342685370741483061e-06,2.269087187763184481e+22,2.428899274074343424e+19
1.332665330661322861e-06,2.252318554556942464e+22,2.410773177835080499e+19
1.352705410821643472e-06,2.285853360010830440e+22,2.447025370044717056e+19
1.342685370741483061e-06,2.269087187763185739e+22,2.428899274074343014e+19
1.362725450901803884e-06,2.302617071698114406e+22,2.465151465746154291e+19
1.352705410821643472e-06,2.285853360010830440e+22,2.447025370044716237e+19
1.372745490981964083e-06,2.319378323223199141e+22,2.483277561178612122e+19
1.362725450901803884e-06,2.302617071698115664e+22,2.465151465746153882e+19
1.382765531062124495e-06,2.336137114984171071e+22,2.501403656342043853e+19
