x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,3.788328361992269824e+19,4.015745257874581600e+16
0.000000000000000000e+00,5.035878338372800781e+12,5.658320057392117567e+06
2.004008016032064418e-08,7.576144892362801152e+19,8.031490508383355200e+16
1.002004008016032209e-08,3.788328361992268186e+19,4.015745257874582400e+16
3.006012024048096958e-08,1.136345016588201656e+20,1.204723575208214560e+17
2.004008016032064418e-08,7.576144892362797875e+19,8.031490508383353600e+16
4.008016032064128836e-08,1.515024425362121359e+20,1.606298098896097920e+17
3.006012024048096958e-08,1.136345016588202148e+20,1.204723575208214880e+17
5.010020040080160715e-08,1.893652722666827284e+20,2.007872621900984320e+17
4.008016032064128836e-08,1.515024425362122015e+20,1.606298098896096960e+17
6.012024048096193916e-08,2.272229915609338348e+20,2.409447144221874880e+17
5.010020040080160715e-08,1.893652722666827612e+20,2.007872621900983360e+17
7.014028056112225794e-08,2.650756011295820677e+20,2.811021665857769920e+17
6.012024048096193916e-08,2.272229915609338020e+20,2.409447144221874880e+17
8.016032064128257673e-08,3.029231016831346278e+20,3.212596186807669120e+17
7.014028056112225794e-08,2.650756011295820677e+20,2.811021665857768960e+17
9.018036072144289551e-08,3.407654939319956931e+20,3.614170707070574080e+17
8.016032064128257673e-08,3.029231016831347589e+20,3.212596186807669120e+17
1.002004008016032143e-07,3.786027785864647148e+20,4.015745226645484160e+17
9.018036072144289551e-08,3.407654939319956931e+20,3.614170707070574080e+17
1.102204408817635463e-07,4.164349563567366472e+20,4.417319745531404160e+17
1.002004008016032143e-07,3.786027785864647148e+20,4.015745226645484160e+17
1.202404809619238783e-07,4.542620279529025044e+20,4.818894263727326720e+17
1.102204408817635463e-07,4.164349563567364506e+20,4.417319745531402240e+17
1.302605210420841839e-07,4.920839940849475912e+20,5.220468781232256000e+17
1.202404809619238783e-07,4.542620279529023078e+20,4.818894263727327360e+17
1.402805611222445159e-07,5.299008554627550413e+20,5.622043298045200640e+17
1.302605210420841839e-07,4.920839940849475912e+20,5.220468781232255360e+17
1.503006012024048214e-07,5.677126127961022136e+20,6.023617814165145600e+17
1.402805611222445159e-07,5.299008554627549102e+20,5.622043298045197440e+17
1.603206412825651535e-07,6.055192667946625270e+20,6.425192329591101440e+17
1.503006012024048214e-07,5.677126127961018860e+20,6.023617814165143040e+17
1.703406813627254855e-07,6.433208181680046080e+20,6.826766844322068480e+17
1.603206412825651535e-07,6.055192667946622648e+20,6.425192329591100160e+17
1.803607214428857910e-07,6.811172676255936676e+20,7.228341358357043200e+17
1.703406813627254855e-07,6.433208181680047391e+20,6.826766844322067200e+17
1.903807615230461230e-07,7.189086158767909765e+20,7.629915871695020800e+17
1.803607214428857910e-07,6.811172676255936676e+20,7.228341358357041920e+17
2.004008016032064286e-07,7.566948636308517683e+20,8.031490384335022080e+17
1.903807615230461230e-07,7.189086158767908454e+20,7.629915871695023360e+17
2.104208416833667606e-07,7.944760115969287782e+20,8.433064896276023040e+17
2.004008016032064286e-07,7.566948636308517683e+20,8.031490384335020800e+17
2.204408817635270926e-07,8.322520604840702771e+20,8.834639407517043200e+17
2.104208416833667606e-07,7.944760115969286472e+20,8.433064896276025600e+17
2.304609218436873982e-07,8.700230110012188918e+20,9.236213918057073920e+17
2.204408817635270926e-07,8.322520604840704082e+20,8.834639407517044480e+17
2.404809619238477567e-07,9.077888638572159304e+20,9.637788427895112960e+17
2.304609218436873982e-07,8.700230110012192850e+20,9.236213918057077760e+17
2.505010020040080622e-07,9.455496197607956152e+20,1.003936293703017216e+18
2.404809619238477567e-07,9.077888638572160614e+20,9.637788427895115520e+17
2.605210420841683677e-07,9.833052794205894083e+20,1.044093744546123648e+18
2.505010020040080622e-07,9.455496197607956152e+20,1.003936293703017216e+18
2.705410821643286733e-07,1.021055843545124962e+21,1.084251195318731776e+18
2.605210420841683677e-07,9.833052794205895393e+20,1.044093744546123264e+18
2.805611222444890318e-07,1.058801312842825466e+21,1.124408646020741760e+18
2.705410821643286733e-07,1.021055843545125093e+21,1.084251195318731904e+18
2.905811623246493373e-07,1.096541688022009512e+21,1.164566096652052224e+18
2.805611222444890318e-07,1.058801312842825204e+21,1.124408646020741760e+18
3.006012024048096429e-07,1.134276969790892540e+21,1.204723547212564992e+18
2.905811623246493373e-07,1.096541688022009643e+21,1.164566096652051968e+18
3.106212424849700014e-07,1.172007158857585787e+21,1.244880997702179328e+18
3.006012024048096429e-07,1.134276969790892540e+21,1.204723547212564992e+18
3.206412825651303069e-07,1.209732255930094977e+21,1.285038448120794880e+18
3.106212424849700014e-07,1.172007158857585525e+21,1.244880997702179072e+18
3.306613226452906125e-07,1.247452261716323729e+21,1.325195898468312320e+18
3.206412825651303069e-07,1.209732255930094453e+21,1.285038448120794624e+18
3.406813627254509709e-07,1.285167176924071723e+21,1.365353348744631552e+18
