trapping,TBR_req,I_startup [kg],I_div_trapped [kg],I_FW_trapped [kg]
1e-07,1.1,1.45292969364807,1.83370473152867e-07,1.83370502733061e-07
1e-06,1.1,1.4529297598218,1.83370399908014e-06,1.8337043119132e-06
1e-05,1.1,1.45293042161129,1.83370392583502e-05,1.83370424037119e-05
