trapping,TBR_req,I_startup [kg],I_div_trapped [kg],I_FW_trapped [kg]
0.01,1.08,1.45213921184407,0.000212313768067647,0.000212311945733387
0.1,1.08,1.45284751826073,0.00212245654250772,0.00212245504208558
0.9,1.08,1.4607806551093,0.0191015034853987,0.0191015048464177
