x,t=0.1s,t=30000000.0s
1.002004008016032209e-08,6.275169412116915159e+20,3.400369425340000768e+18
0.000000000000000000e+00,2.052118495409569500e+15,6.022142469940182495e+10
2.004008016032064418e-08,1.254174656037155242e+21,6.800738067407695872e+18
1.002004008016032209e-08,6.275169412116913848e+20,3.400369425340001280e+18
3.006012024048096958e-08,1.879976891598500528e+21,1.020110598603078246e+19
2.004008016032064418e-08,1.254174656037154980e+21,6.800738067407694848e+18
4.008016032064128836e-08,2.504925333568383091e+21,1.360147318081554432e+19
3.006012024048096958e-08,1.879976891598500004e+21,1.020110598603078246e+19
5.010020040080160715e-08,3.129021663551058608e+21,1.700183965136826368e+19
4.008016032064128836e-08,2.504925333568383091e+21,1.360147318081554432e+19
6.012024048096193916e-08,3.752267557702605996e+21,2.040220539729525146e+19
5.010020040080160715e-08,3.129021663551058608e+21,1.700183965136826368e+19
7.014028056112225794e-08,4.374664687130730037e+21,2.380257041820278784e+19
6.012024048096193916e-08,3.752267557702603899e+21,2.040220539729524326e+19
8.016032064128257673e-08,4.996214717817561285e+21,2.720293471369719808e+19
7.014028056112225794e-08,4.374664687130727416e+21,2.380257041820277965e+19
9.018036072144289551e-08,5.616919310670066876e+21,3.060329828338477875e+19
8.016032064128257673e-08,4.996214717817561285e+21,2.720293471369719808e+19
1.002004008016032143e-07,6.236780121536103186e+21,3.400366112687187558e+19
9.018036072144289551e-08,5.616919310670066876e+21,3.060329828338478285e+19
1.102204408817635463e-07,6.855798801229461586e+21,3.740402324376482611e+19
1.002004008016032143e-07,6.236780121536104235e+21,3.400366112687188378e+19
1.202404809619238783e-07,7.473976995552328417e+21,4.080438463366997606e+19
1.102204408817635463e-07,6.855798801229460537e+21,3.740402324376482611e+19
1.302605210420841839e-07,8.091316345318291800e+21,4.420474529619363430e+19
1.202404809619238783e-07,7.473976995552329466e+21,4.080438463366994330e+19
1.402805611222445159e-07,8.707818486374967804e+21,4.760510523094219981e+19
1.302605210420841839e-07,8.091316345318291800e+21,4.420474529619361792e+19
1.503006012024048214e-07,9.323485049626595164e+21,5.100546443752197325e+19
1.402805611222445159e-07,8.707818486374965707e+21,4.760510523094219162e+19
1.603206412825651535e-07,9.938317661056421331e+21,5.440582291553942733e+19
1.503006012024048214e-07,9.323485049626592018e+21,5.100546443752197325e+19
1.703406813627254855e-07,1.055231794174900568e+22,5.780618066460086272e+19
1.603206412825651535e-07,9.938317661056417137e+21,5.440582291553940275e+19
1.803607214428857910e-07,1.116548750791236859e+22,6.120653768431264563e+19
1.703406813627254855e-07,1.055231794174900778e+22,5.780618066460087091e+19
1.903807615230461230e-07,1.177782797089995804e+22,6.460689397428126515e+19
1.803607214428857910e-07,1.116548750791236439e+22,6.120653768431266202e+19
2.004008016032064286e-07,1.238934093723255964e+22,6.800724953411304653e+19
1.903807615230461230e-07,1.177782797089995804e+22,6.460689397428126515e+19
2.104208416833667606e-07,1.300002800862001470e+22,7.140760436341442150e+19
2.004008016032064286e-07,1.238934093723255754e+22,6.800724953411303834e+19
2.204408817635270926e-07,1.360989078198281883e+22,7.480795846179179725e+19
2.104208416833667606e-07,1.300002800862000841e+22,7.140760436341442150e+19
2.304609218436873982e-07,1.421893084947360724e+22,7.820831182885167104e+19
2.204408817635270926e-07,1.360989078198281463e+22,7.480795846179178086e+19
2.404809619238477567e-07,1.482714979849848907e+22,8.160866446420035174e+19
2.304609218436873982e-07,1.421893084947360514e+22,7.820831182885160550e+19
2.505010020040080622e-07,1.543454921173824333e+22,8.500901636744431206e+19
2.404809619238477567e-07,1.482714979849848698e+22,8.160866446420033536e+19
2.605210420841683677e-07,1.604113066716944348e+22,8.840936753819004109e+19
2.505010020040080622e-07,1.543454921173824963e+22,8.500901636744431206e+19
2.705410821643286733e-07,1.664689573808535346e+22,9.180971797604397875e+19
2.605210420841683677e-07,1.604113066716943719e+22,8.840936753819005747e+19
2.805611222444890318e-07,1.725184599311678387e+22,9.521006768061264691e+19
2.705410821643286733e-07,1.664689573808534507e+22,9.180971797604399514e+19
2.905811623246493373e-07,1.785598299625278879e+22,9.861041665150241997e+19
2.805611222444890318e-07,1.725184599311678177e+22,9.521006768061263053e+19
3.006012024048096429e-07,1.845930830686126185e+22,1.020107648883198034e+20
2.905811623246493373e-07,1.785598299625279927e+22,9.861041665150237082e+19
3.106212424849700014e-07,1.906182347970935836e+22,1.054111123906712371e+20
3.006012024048096429e-07,1.845930830686126604e+22,1.020107648883198362e+20
3.206412825651303069e-07,1.966353006498378521e+22,1.088114591581634068e+20
3.106212424849700014e-07,1.906182347970935836e+22,1.054111123906712535e+20
3.306613226452906125e-07,2.026442960831113698e+22,1.122118051904025559e+20
3.206412825651303069e-07,1.966353006498378521e+22,1.088114591581633413e+20
3.406813627254509709e-07,2.086452365077783144e+22,1.156121504869953372e+20
3.306613226452906125e-07,2.026442960831113278e+22,1.122118051904025559e+20
3.507014028056112765e-07,2.146381372895015207e+22,1.190124950475482726e+20
3.406813627254509709e-07,2.086452365077782725e+22,1.156121504869953372e+20
3.607214428857715820e-07,2.206230137489408708e+22,1.224128388716678185e+20
3.507014028056112765e-07,2.146381372895014787e+22,1.190124950475482071e+20
3.707414829659319405e-07,2.265998811619504685e+22,1.258131819589606113e+20
3.607214428857715820e-07,2.206230137489408288e+22,1.224128388716678185e+20
3.807615230460922461e-07,2.325687547597746392e+22,1.292135243090329764e+20
3.707414829659319405e-07,2.265998811619503846e+22,1.258131819589605786e+20
